Siena,108.6,110.1,51.8,50.0,15.8,18.3,33.2,28.2,32.7,26.9,-4.7
Merrimack,105.7,107.4,48.3,47.6,15.5,19.8,25.4,41.5,38.7,38.8,-5.0
South Dakota St.,109.5,111.3,52.7,50.8,16.7,15.7,30.5,27.6,32.1,35.2,-7.8
Western Kentucky,105.0,106.7,45.4,50.7,14.8,17.6,33.3,29.9,38.2,44.1,-5.8
Northern Kentucky,108.3,110.1,52.6,54.6,16.6,19.4,32.2,32.9,34.1,38.9,-6.7
Elon,113.8,115.8,54.8,54.0,15.9,16.6,34.0,34.2,33.0,33.9,-6.6
Buffalo,114.5,116.6,56.4,53.9,15.7,17.5,27.6,32.1,43.4,31.9,-5.3
Drexel,103.1,105.1,50.4,46.6,18.6,17.0,32.2,30.9,29.9,35.9,-8.3
Tulane,108.7,110.8,50.4,51.2,15.2,17.9,22.3,35.9,45.0,38.0,-5.4
Texas A&M Corpus Chris,101.7,103.7,47.1,50.7,18.5,20.0,31.1,29.8,43.3,44.4,-6.4
Utah Tech,108.0,110.1,52.3,50.8,18.2,18.0,28.8,34.3,29.1,35.5,-5.6
Towson,102.8,104.9,46.2,50.7,16.4,16.2,36.4,26.6,30.4,31.3,-6.3
New Orleans,111.9,114.3,50.7,49.7,20.9,14.0,35.5,34.6,43.3,39.6,-6.8
Lipscomb,108.1,110.4,53.8,52.5,15.9,18.2,25.5,30.5,27.2,31.0,-3.6
Youngstown St.,107.0,109.4,53.1,51.6,19.5,18.4,33.0,32.2,32.5,41.7,-8.9
Quinnipiac,106.1,108.5,49.8,49.8,15.8,17.7,32.6,32.9,31.5,30.7,-5.2
Jacksonville St.,106.1,108.6,49.6,49.5,18.0,16.4,30.3,29.6,43.4,36.1,-7.2
Tarleton St.,106.4,109.0,48.7,57.2,20.0,24.2,32.5,33.2,43.8,47.5,-6.8
